"NCBI Gene ID","Ensembl gene ID","Approved symbol",,,,,,,,,,,,,,,,,,,,,,,"Vega IDs"
1,"ENSG00000121410","A1BG",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000183507"
503538,"ENSG00000268895","A1BG-AS1",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000183508"
29974,"ENSG00000148584","A1CF",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000018240"
,,"A1S9T",,,,,,,,,,,,,,,,,,,,,,,
2,"ENSG00000175899","A2M",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000150267"
144571,"ENSG00000245105","A2M-AS1",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000168289"
144568,"ENSG00000166535","A2ML1",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000128499"
,"ENSG00000256661","A2ML1-AS1",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000168273"
,"ENSG00000256904","A2ML1-AS2",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000168274"
3,"ENSG00000256069","A2MP1",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000168334"
,,"A2MR",,,,,,,,,,,,,,,,,,,,,,,
,,"A2MRAP",,,,,,,,,,,,,,,,,,,,,,,
127550,"ENSG00000184389","A3GALT2",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000004125"
53947,"ENSG00000128274","A4GALT",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000150744"
51146,"ENSG00000118017","A4GNT",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000159820"
,,"A12M1",,,,,,,,,,,,,,,,,,,,,,,
,,"A12M2",,,,,,,,,,,,,,,,,,,,,,,
,,"A12M3",,,,,,,,,,,,,,,,,,,,,,,
,,"A12M4",,,,,,,,,,,,,,,,,,,,,,,
,,"AA",,,,,,,,,,,,,,,,,,,,,,,
8086,"ENSG00000094914","AAAS",,,,,,,,,,,,,,,,,,,,,,,"OTTHUMG00000169729"
,,"AABT",,,,,,,,,,,,,,,,,,,,,,,
,,"AAC1",,,,,,,,,,,,,,,,,,,,,,,
,,"AAC2",,,,,,,,,,,,,,,,,,,,,,,
